,hour,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar,date
4560,20,87.50833333333333,69.125,54.666666666666664,0.0,0.0,29.6975,0.0,0.0,0.0,4.916666666666667,2022-07-12
4561,21,86.51666666666667,68.60000000000001,55.5,0.0,0.0,29.723333333333333,0.0,0.0,0.0,0.0,2022-07-12
4562,22,84.88333333333334,68.26666666666667,57.5,0.0,0.0,29.74,0.0,0.0,0.0,0.0,2022-07-12
4563,23,83.55833333333334,68.8,61.333333333333336,0.0,0.0,29.74333333333333,0.0,0.0,0.0,0.0,2022-07-12
4564,0,83.02499999999999,68.99166666666666,62.666666666666664,0.0,0.0,29.75666666666667,0.0,0.0,0.0,0.0,2022-07-13
4565,1,82.425,69.14999999999999,64.41666666666667,0.0,0.0,29.766666666666666,0.0,0.0,0.0,0.0,2022-07-13
4566,2,80.95833333333333,69.20833333333333,67.58333333333333,0.0,0.0,29.780833333333334,0.0,0.0,0.0,0.0,2022-07-13
4567,3,79.23333333333333,68.875,70.66666666666667,0.0,0.0,29.795833333333334,0.0,0.0,0.0,0.0,2022-07-13
4568,4,77.58333333333333,66.15833333333333,68.0,0.0,0.0,29.80333333333333,0.0,0.0,0.0,0.0,2022-07-13
4569,5,76.53333333333333,64.51666666666667,66.41666666666667,0.0,0.0,29.825,0.0,0.0,0.0,2.9166666666666665,2022-07-13
4570,6,76.675,64.80833333333334,66.75,0.0,0.0,29.848333333333333,0.0,0.0,0.0,68.66666666666667,2022-07-13
4571,7,77.925,63.949999999999996,62.25,0.0,0.0,29.873333333333335,0.0,0.0,0.6666666666666666,232.91666666666666,2022-07-13
4572,8,80.02499999999999,61.925000000000004,54.166666666666664,0.0,0.0,29.8875,0.0,0.0,1.5833333333333333,408.25,2022-07-13
4573,9,82.06666666666666,59.050000000000004,45.833333333333336,0.0,0.0,29.899166666666662,0.0,0.0,3.0833333333333335,590.1666666666666,2022-07-13
4574,10,83.35000000000001,57.791666666666664,41.916666666666664,0.0,0.0,29.899999999999995,0.0,0.0,4.666666666666667,717.0,2022-07-13
4575,11,85.74166666666667,57.65,38.583333333333336,0.0,0.0,29.899166666666662,0.0,0.0,5.916666666666667,800.1666666666666,2022-07-13
4576,12,87.59166666666665,55.775,34.083333333333336,0.0,0.0,29.895,0.0,0.0,6.916666666666667,858.1666666666666,2022-07-13
4577,13,89.38333333333333,56.199999999999996,32.666666666666664,0.0,0.0,29.885,0.0,0.0,6.666666666666667,869.9166666666666,2022-07-13
4578,14,91.02499999999999,56.824999999999996,31.833333333333332,0.0,0.0,29.87,0.0,0.0,5.5,844.25,2022-07-13
4579,15,90.45,56.958333333333336,32.416666666666664,0.0,0.0,29.865,0.0,0.0,4.166666666666667,747.0833333333334,2022-07-13
4580,16,89.93333333333334,59.63333333333333,36.833333333333336,0.0,0.0,29.859166666666667,0.0,0.0,2.6666666666666665,592.25,2022-07-13
4581,17,86.875,61.875,43.5,0.0,0.0,29.854166666666668,0.0,0.0,1.5,406.1666666666667,2022-07-13
4582,18,85.19166666666666,63.63333333333333,48.583333333333336,0.0,0.0,29.854166666666668,0.0,0.0,0.5833333333333334,205.33333333333334,2022-07-13
4583,19,82.01666666666667,62.175000000000004,51.083333333333336,0.0,0.0,29.86,0.0,0.0,0.0,59.5,2022-07-13
4584,20,79.28333333333333,64.20833333333333,60.0,0.0,0.0,29.873333333333335,0.0,0.0,0.0,5.166666666666667,2022-07-13
4585,21,78.20833333333333,65.73333333333333,65.83333333333333,0.0,0.0,29.889166666666668,0.0,0.0,0.0,0.0,2022-07-13
4586,22,77.80833333333332,68.16666666666667,72.41666666666667,0.0,0.0,29.899999999999995,0.0,0.0,0.0,0.0,2022-07-13
4587,23,78.41666666666667,68.8,72.5,0.0,0.0,29.894166666666667,0.0,0.0,0.0,0.0,2022-07-13
4588,0,79.33333333333333,68.72500000000001,70.0,0.0,0.0,29.89,0.0,0.0,0.0,0.0,2022-07-14
4589,1,79.52499999999999,68.3,68.58333333333333,0.0,0.0,29.8925,0.0,0.0,0.0,0.0,2022-07-14
4590,2,77.18333333333334,68.02499999999999,73.5,0.0,0.0,29.905833333333334,0.0,0.0,0.0,0.0,2022-07-14
4591,3,74.01666666666667,65.125,73.83333333333333,0.0,0.0,29.91,0.0,0.0,0.0,0.0,2022-07-14
4592,4,72.78333333333333,64.93333333333334,76.5,0.0,0.0,29.906666666666666,0.0,0.0,0.0,0.0,2022-07-14
4593,5,71.91666666666667,64.90833333333335,78.58333333333333,0.0,0.0,29.91416666666667,0.0,0.0,0.0,2.1666666666666665,2022-07-14
4594,6,71.61666666666666,64.79166666666667,79.08333333333333,0.0,0.0,29.929166666666664,0.0,0.0,0.0,68.16666666666667,2022-07-14
4595,7,71.99166666666666,64.39999999999999,76.91666666666667,0.0,0.0,29.94333333333333,0.0,0.0,0.4166666666666667,183.41666666666666,2022-07-14
4596,8,72.98333333333333,64.11666666666666,73.83333333333333,0.0,0.0,29.954166666666666,0.0,0.0,1.3333333333333333,377.8333333333333,2022-07-14
4597,9,74.85833333333333,64.25833333333334,69.75,0.0,0.0,29.959999999999997,0.0,0.0,2.75,565.5,2022-07-14
4598,10,79.14999999999999,65.18333333333334,62.416666666666664,0.0,0.0,29.9725,0.0,0.0,4.416666666666667,706.5833333333334,2022-07-14
4599,11,82.225,65.22500000000001,56.416666666666664,0.0,0.0,29.98,0.0,0.0,5.916666666666667,912.5833333333334,2022-07-14
4600,12,82.88333333333334,63.89166666666667,53.166666666666664,0.0,0.0,29.974999999999998,0.0,0.0,6.416666666666667,772.25,2022-07-14
