,date,hour,Total Passengers,Amount of Trips,Total Distance,Average Distance,Total Fares,day_of_week,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar
71,2022-01-02,23,2405.0,1639,10486.22,6.260429850746268,47694.08,6,39.025,30.458333333333332,71.25,0.0,0.0,29.993333333333336,0.0,0.03,0.0,0.0
72,2022-01-03,0,1673.0,1111,7845.05,6.827719756309834,34209.21,0,38.583333333333336,29.266666666666666,69.16666666666667,0.0,0.0,30.026666666666667,0.0,0.0,0.0,0.0
73,2022-01-03,1,964.0,646,4988.74,7.628042813455657,21235.11,0,38.016666666666666,28.15833333333333,67.25,0.0,0.0,30.064999999999998,0.0,0.0,0.0,0.0
74,2022-01-03,2,531.0,365,2071.48,5.583504043126685,10082.48,0,37.18333333333333,27.083333333333332,66.58333333333333,0.0,0.0,30.099166666666665,0.0,0.0,0.0,0.0
75,2022-01-03,3,402.0,266,1986.97,7.359148148148148,8372.59,0,35.21666666666667,22.458333333333332,59.416666666666664,0.0,0.0,30.084999999999997,0.0,0.0,0.0,0.0
76,2022-01-03,4,341.0,238,1501.19,5.841206225680934,7552.87,0,33.75,20.05,57.0,0.0,0.0,30.088333333333335,0.0,0.0,0.0,0.0
77,2022-01-03,5,624.0,460,2880.93,5.952334710743801,13047.06,0,33.25833333333333,20.25,58.416666666666664,0.0,0.0,30.115,0.0,0.0,0.0,0.0
78,2022-01-03,6,1668.0,1258,187482.84,143.11667175572518,33094.48,0,32.225,20.775000000000002,62.416666666666664,0.0,0.0,30.10083333333333,0.0,0.0,0.0,0.0
79,2022-01-03,7,3361.0,2546,11071.1,4.187254160363087,55162.19,0,31.183333333333334,14.833333333333334,50.583333333333336,0.0,0.0,30.1125,0.0,0.0,0.0,2.1666666666666665
80,2022-01-03,8,4563.0,3404,12032.87,3.451769936890419,65594.2,0,30.683333333333334,9.299999999999999,40.25,0.0,0.0,30.124166666666667,0.0,0.0,0.0,14.75
81,2022-01-03,9,5043.0,3691,11516.56,3.0580350504514073,69496.35,0,30.275000000000002,9.608333333333333,41.333333333333336,0.0,0.0,30.135833333333334,0.0,0.0,0.0,21.0
82,2022-01-03,10,5501.0,4022,13468.82,3.292305059887558,77082.44,0,29.616666666666664,10.275,43.916666666666664,0.0,0.0,30.144166666666667,0.0,0.0,0.0,28.333333333333332
